English,Turkish,Sample Sentence
everybody,Herkes,Everybody knows that 2+2=4.
everyone,herkes,Everyone should feel the fresh air.
everything,her şey,You should know everything.
evidence,delil,She doesn’t have any evidence.
exactly,kesinlikle,I don’t know exactly where she is.
example,örnek,Why don’t you read Rıza’s example?
executive,yönetici,Ahmet is soft enough to be a good executive.
exist,var olmak,She believes that angels exist.
expect,ummak,What do you expect from me?
experience,deneyim,Do you have experience for this job?
expert,uzman,The expert is called for advice.
explain,açıklamak,She will explain the case to you.
eye,göz,Close your right eye and smile.
face,Yüz,Her face became sad.
fact,Gerçek,It is hard to tell fact from fiction!
factor,Faktör,His manner is a factor in his success.
fail,başarısız,He failed the test.
fall,düşmek,The rain falls heavily onto the roof.
family,aile,He wants to spend more time with his family.
far,Uzak,Far from eye far from heart.
fast,hızlı,He had a liking for fast cars.
father,Baba,He’s the father of three small children.
fear,korku,She is trying to face her fear of dogs.
federal,federal,The territories are governed by federal laws.
feel,Hissetmek,They feel a lot of anxiety before a test.
feeling,duygu,He got a strange feeling he was being watched.
few,az,There are a few reasons.
field,alan,The football field is enclosed by a wall.
fight,kavga,She joined the fight against cancer.
figure,şekil,Her dress moulds to her figure.
fill,Doldurmak,He helped us to fill in the form.
film,film,He really enjoys horror films.
final,Nihai,Our final exams start in about two weeks.
finally,en sonunda,They finally found the cat up on the roof.
financial,Mali,The company needs more financial assistance
find,Bulmak,I find it hard to believe you.
fine,Güzel,You did a fine job.
finger,parmak,She cut her finger on a piece of glass.
finish,bitiş,They have to finish their clean-up.
fire,ateş,They are fighting a house fire.
firm,firma,An education firm called Eduvio produced a similar product.
first,ilk,She finished the race at first position.
fish,balık,He caught a huge fish.
five,beş,I got up at five o’clock.
floor,Zemin,His office is on the second floor.
fly,uçmak,I will fly to Istanbul tomorrow.
focus,Odaklanmak,Focus on your studies.
follow,Takip etmek,Somebody is following us.
food,Gıda,She made his favorite food for his birthday.
foot,ayak,Her foot slipped and she fell down the stairs.
for,için,"Next year, I will travel for three weeks."
force,Kuvvet,I tried to force from my memory.
foreign,yabancı,He also spent some time in the Foreign Office in Berlin.
forget,unutmak,I forget my keys
form,form,Please fill in the form.
former,eski,He was former worker of our company.
forward,Ileri,She stepped forward and hugged him.
four,dört,There are four people there.
free,ücretsiz,The Wi-Fi is free in this cafe.
friend,arkadaş,She is my best friend.
front,ön,He is in front of me in the que.
full,tam,Are you a full time student?
fund,"fon, sermaye",The company was short of funds.
future,Gelecek,Could you be more careful in future?
game,Oyun,Game Over.
garden,Bahçe,They’re working in the backyard garden.
gas,gaz,The car almost ran out of gas.
general,genel,I am going to take IELTS General exam.
generation,Nesil,This model belongs to the latest generation.
get,almak,He gets his residence permit today.
girl,kız,The girl in red dress is beautiful
give,Vermek,Give me Tom’s address.
glass,bardak,Who broke the glass?
go,gitmek,
goal,hedef,
good,iyi,
government,Hükümet,
great,harika,
green,yeşil,
ground,zemin,
group,Grup,
grow,Büyümek,
growth,büyüme,
guess,tahmin,
gun,Silah,
guy,adam,
hair,saç,
half,yarım,
hand,el,
hang,asmak,
happen,olmak,
happy,mutlu,
hard,zor,
have,sahip olmak,
he,O,
head,Kafa,
health,sağlık,
hear,duymak,
heart,Kalp,
heat,sıcaklık,
heavy,ağır,
help,Yardım,
her,ona,
here,İşte,
herself,kendini,
high,yüksek,
him,Onu,
himself,Kendisi,
his,Onun,
history,Tarih,
hit,Çarptı,
hold,Tutmak,
home,ev,
hope,umut,
hospital,hastane,
hot,Sıcak,
hotel,otel,
hour,saat,
house,ev,
how,Nasıl,
however,ancak,
huge,Kocaman,
human,insan,
hundred,yüz,
husband,koca,
idea,Fikir,
identify,Tanımlamak,
if,Eğer,
image,Imge,
imagine,hayal etmek,
impact,Etki,
important,önemli,
improve,Geliştirmek,
in,içinde,
include,Dahil etmek,
including,dahil olmak üzere,
increase,artırmak,
indeed,aslında,
indicate,Belirtmek,
individual,Bireysel,
industry,Endüstri,
information,bilgi,
inside,Içeride,
instead,yerine,
institution,Kurum,
interest,faiz,
interesting,ilginç,
international,Uluslararası,
interview,röportaj,
into,Içine,
investment,yatırım,
involve,Dahil etmek,
issue,konu,
it,o,
item,Öğe,
its,onun,
itself,Kendis,
job,iş,
join,katılmak,
just,sadece,
keep,Tutmak,
key,Anahtar,
kid,çocuk,
kill,öldürmek,
kind,Tür,
kitchen,mutfak,
know,Bilmek,
knowledge,bilgi,
land,Arazi,
language,dil,
large,geniş,
last,son,
late,geç,
later,sonra,
laugh,gülmek,
law,hukuk,
lawyer,avukat,
lay,Yatırmak,
lead,öncülük etmek,
leader,Lider,
learn,Öğrenmek,
least,en az,
leave,ayrılmak,
left,ayrıldı,
leg,bacak,
legal,yasal,
less,az,
let,Izin vermek,
letter,Mektup,
level,Seviye,
lie,Yalan,
life,Hayat,
light,Işık,
like,sevmek,
likely,Muhtemel,
line,"çizgi, sıra",
list,liste,
listen,Dinlemek,
little,Küçük,
live,canlı,
local,yerel,
long,uzun,
look,bakmak,
lose,kaybetmek,
loss,Kayıp,
lot,çok,
love,Aşk,
low,düşük,
machine,Makine,
magazine,Dergi,
main,ana,
maintain,sürdürmek,
majority,Çoğunluk,
make,Yapmak,
man,adam,
manage,Yönetmek,
management,Yönetim,
manager,Müdür,
many,Çok,
market,pazar,
marriage,evlilik,
material,malzeme,
matter,Madde,
may,Mayıs ayı,
maybe,olabilir,
me,ben mi,
mean,anlamına gelmek,
measure,Ölçmek,
media,Medya,
medical,tıbbi,
meet,Buluşmak,
meeting,toplantı,
member,Üye,
memory,Hafıza,
mention,söz etmek,
message,mesaj,
method,yöntem,
middle,orta,
might,belki,
military,askeri,
million,milyon,
mind,Zihin,
minute,dakika,
miss,Özlemek,
mission,misyon,
model,Model,
modern,modern,
moment,an,
money,para,
month,ay,
more,Daha,
morning,sabah,
most,çoğu,
mother,Anne,
mouth,ağız,
move,hareket etmek,
movement,Hareket,
movie,film,
Mr,Bay,
Mrs,bayan,
much,çok,
music,müzik,
must,Zorunlu,
my,benim,
myself,kendim,
name,Isim,
nation,Ulus,
national,Ulusal,
natural,doğal,
nature,doğa,
near,Yakın,
nearly,neredeyse,
necessary,gerekli,
need,Ihtiyaç,
network,ağ,
never,asla,
new,yeni,
news,haber,
newspaper,gazete,
next,Sonraki,
nice,Güzel,
night,gece,
no,yok hayır,
none,Yok,
nor,Ne de,
north,kuzeyinde,
not,değil,
note,Not,
nothing,Hiçbir şey,
notice,ihbar,
now,Şimdi,
number,numara,
occur,Meydana gelmek,
off,Kapalı,
offer,Teklif etmek,
office,ofis,
officer,Memur,
official,resmi,
often,Sıklıkla,
oil,yağ,
ok,tamam,
old,eski,
on,Üzerinde,
once,bir Zamanlar,
one,bir,
only,bir tek,
onto,üstüne,
open,açık,
operation,Ameliyat,
opportunity,Fırsat,
option,Seçenek,
or,veya,
order,sipariş,
organization,Organizasyon,
other,diğer,
others,Diğerleri,
our,bizim,
out,dışarı,
outside,dışında,
over,Bitti,
own,kendi,
owner,sahip,
page,sayfa,
pain,Ağrı,
painting,Boyama,
paper,Kağıt,
parent,Ebeveyn,
part,Bölüm,
participant,katılımcı,
particular,Özel,
particularly,özellikle,
partner,ortak,
party,Parti,
pass,Geçmek,
past,Geçmiş,
patient,hasta,
pattern,Desen,
pay,Ödemek,
peace,Barış,
people,insanlar,
per,başına,
perform,Gerçekleştirmek,
performance,Performans,
perhaps,Belki,
period,Dönem,
person,kişi,
personal,kişisel,
phone,telefon,
physical,fiziksel,
pick,Almak,
picture,resim,
piece,parça,
place,Yer,
plan,plan,
plant,bitki,
play,Oynamak,
player,Oyuncu,
point,puan,
police,polis,
policy,politika,
political,Siyasi,
politics,siyaset,
poor,Fakir,
popular,popüler,
population,Nüfus,
position,Pozisyon,
positive,pozitif,
possible,mümkün,
power,güç,
practice,Uygulama,
prepare,Hazırlamak,
present,mevcut,
president,Devlet Başkanı,
pressure,basınç,
pretty,güzel,
prevent,engel olmak,
price,fiyat,
private,özel,
probably,muhtemelen,
problem,sorun,
process,Işlem,
produce,üretmek,
product,ürün,
production,üretim,
professional,profesyonel,
professor,Profesör,
program,Program,
project,Proje,
property,Gayrimenkul,
protect,Korumak,
prove,kanıtlamak,
provide,sağlamak,
public,halka açık,
pull,Çek,
purpose,Amaç,
push,Itmek,
put,koymak,
quality,kalite,
question,soru,
quickly,hızlı bir şekilde,
quite,oldukça,
race,yarış,
radio,radyo,
raise,yükseltmek,
range,Menzil,
rate,Oran,
rather,daha doğrusu,
reach,Ulaşmak,
read,okumak,
ready,hazır,
real,gerçek,
reality,Gerçeklik,
realize,Farketmek,
really,Gerçekten mi,
reason,neden,
receive,teslim almak,
recent,son,
recently,son günlerde,
recognize,tanımak,
record,kayıt,
red,kırmızı,
reduce,Azaltmak,
reflect,Yansıtmak,
region,Bölge,
relate,Ilişki kurmak,
relationship,Ilişki,
religious,dini,
remain,kalmak,
remember,hatırlamak,
remove,kaldırmak,
report,rapor,
represent,temsil etmek,
Republican,Cumhuriyetçi,
require,Gerektirir,
research,Araştırma,
resource,kaynak,
respond,yanıtlamak,
response,Cevap,
responsibility,Sorumluluk,
rest,dinlenme,
result,sonuç,
return,dönüş,
reveal,ortaya çıkartmak,
rich,zengin,
right,sağ,
rise,Yükselmek,
risk,risk,
road,yol,
rock,Kaya,
role,Rol,
room,Oda,
rule,kural,
run,koşmak,
safe,Güvenli,
same,aynı,
save,kayıt etmek,
say,söylemek,
scene,"faliyet alani, sahne",
school,Okul,
science,Bilim,
scientist,Bilim insanı,
score,Skor,
sea,deniz,
season,sezon,
seat,koltuk,
second,ikinci,
section,Bölüm,
security,güvenlik,
see,görmek,
seek,aramak,
seem,görünmek,
sell,satmak,
send,Göndermek,
senior,Kıdemli,
sense,Anlam,
series,dizi,
serious,ciddi,
serve,servis,
service,hizmet,
set,Ayarlamak,
seven,Yedi,
several,birkaç,
shake,sallamak,
share,Paylaşmak,
she,o,
shoot,şut çekmek,
short,kısa,
shot,atış,
should,meli,
shoulder,omuz,
show,göstermek,
side,yan,
sign,işaret,
significant,önemli,
similar,benzer,
simple,basit,
simply,Basitçe,
since,dan beri,
sing,şarkı söyle,
single,tek,
sister,kız kardeş,
sit,Oturmak,
site,yer,
situation,durum,
six,altı,
size,boyut,
skill,beceri,
skin,Cilt,
small,küçük,
smile,gülümseme,
so,yani,
social,sosyal,
society,toplum,
soldier,asker,
some,bazı,
somebody,Birileri,
someone,birisi,
something,Bir şey,
sometimes,ara sıra,
son,oğul,
song,şarkı,
soon,yakında,
sort,çeşit,
sound,ses,
source,kaynak,
south,Güney,
southern,güney,
space,Boşluk,
speak,Konuşmak,
special,özel,
specific,özel,
speech,konuşma,
spend,Harcamak,
sport,spor,
spring,Bahar,
staff,personel,
stage,Sahne,
stand,Durmak,
standard,standart,
star,star,
start,başlama,
state,belirtmek,
statement,Beyan,
station,Istasyon,
stay,kalmak,
step,adım,
still,Hala,
stock,Stok,
stop,Dur,
store,Mağaza,
story,Öykü,
strategy,Strateji,
street,sokak,
strong,güçlü,
structure,Yapı,
student,Öğrenci,
study,ders çalışma,
stuff,şey,
style,Stil,
subject,Konu,
success,Başarı,
successful,başarılı,
such,Böyle,
suddenly,aniden,
suffer,acı çekmek,
suggest,önermek,
summer,yaz,
support,destek,
sure,emin,
surface,yüzey,
system,Sistem,
table,Tablo,
take,Almak,
talk,Konuşmak,
task,görev,
tax,vergi,
teach,Öğretmek,
teacher,öğretmen,
team,takım,
technology,Teknoloji,
television,televizyon,
tell,söylemek,
ten,on,
tend,Eğilmek,
term,terim,
test,test,
thank,teşekkür,
that,O,
their,onların,
them,Onları,
themselves,kendilerini,
then,sonra,
theory,Teori,
there,Orada,
these,bunlar,
they,onlar,
thing,şey,
think,Düşünmek,
third,üçüncü,
this,bu,
those,Bunlar,
though,Olsa da,
thought,Düşündü,
thousand,bin,
threat,tehdit,
three,üç,
through,vasitasiyla,
throughout,boyunca,
throw,atmak,
thus,Böylece,
time,zaman,
to,Için,
today,bugün,
together,birlikte,
tonight,Bu gece,
too,çok,
top,üst,
total,Genel Toplam,
tough,Sert,
toward,DOĞRU,
town,Kasaba,
trade,Ticaret,
traditional,geleneksel,
training,Eğitim,
travel,seyahat,
treat,tedavi etmek,
treatment,Tedavi,
tree,Ağaç,
trial,Deneme,
trip,Yolculuk,
trouble,sorun,
TRUE,DOĞRU,
truth,hakikat,
try,Denemek,
turn,Çevirmek,
TV,televizyon,
two,iki,
type,Yazın,
under,altında,
understand,anlama,
unit,Ünite,
until,a kadar,
up,Yukarı,
upon,Üzerinde,
us,bize,
use,Kullanmak,
usually,genellikle,
value,Değer,
various,çeşitli,
very,çok,
victim,Kurban,
view,görünüm,
violence,şiddet,
visit,ziyaret etmek,
voice,Ses,
vote,oy,
wait,beklemek,
walk,Yürümek,
wall,duvar,
want,istemek,
war,savaş,
watch,izlemek,
water,Su,
way,Yol,
we,Biz,
weapon,Silah,
wear,giyinmek,
week,hafta,
weight,ağırlık,
well,iyi,
west,batısında,
western,Batıda,
what,ne,
whatever,her neyse,
when,ne zaman,
where,nerede,
which,hangi,
while,iken,
white,beyaz,
who,Kim,
whom,kime,
whose,kimin,
why,Neden,
wide,geniş,
wife,kadın eş,
win,Kazanmak,
wind,Rüzgar,
window,Pencere,
wish,Dilek,
with,ile,
within,Içinde,
without,Olmadan,
woman,Kadın,
wonder,merak etmek,
word,Kelime,
work,iş,
worker,işçi,
world,Dünya,
worry,endişelenmek,
would,Olur mu,
write,yazmak,
writer,yazar,
wrong,yanlış,
yard,avlu,
yeah,Evet,
year,yıl,
yes,Evet,
yet,Henüz,
you,sen,
young,genç,
your,Senin,
yourself,kendin,
