English,Turkish
require,"gerekmek, gerektirmek, gerektirir, icap etmek"
button,düğme
hook,kanca
mommy,anne
themselves,kendilerini
rose,gül
destiny,kader
complete,"tamamlamak, tam, eksiksiz"
super,süper
avoid,"önlemek, kaçınmak"
bless,kutsamak
possibly,"muhtemelen, belki"
foot,ayak
dare,"kafa tutmak, cesaret"
often,sıklıkla
bus,otobüs
fate,kader
study,ders çalışma
animal,hayvan
fan,yelpaze
embarrass,utandırmak
settle,yerleşmek
tool,aracı
farm,çiftlik
pray,dua etmek
liar,yalancı
purpose,amaç
otherwise,aksi takdirde
folk,halk
amazing,"inanılmaz, şaşırtıcı"
east,doğu
threw,attı
safety,emniyet
email,e-posta
skin,cilt
corner,köşe
continue,devam et
tear,gözyaşı
knife,bıçak
mask,maskelemek
bridge,köprü
raise,yükseltmek
grant,hibe
insane,deli
rat,sıçan
honestly,dürüstçe
gas,gaz
sky,gökyüzü
powerful,güçlü
cash,nakit
term,terim
deliver,teslim etmek
breakfast,kahvaltı
ourselves,kendimizi
set,ayarlamak
split,bölünmüş
fought,kavga etti
shadow,gölge
throne,taht
witness,"tanık olmak, şahit olmak"
prepare,hazırlamak
flower,çiçek
yell,bağırma
bone,kemik
toward,"karşı, doğru"
further,daha ileri
bottle,"şişe, şişelemek"
regret,pişmanlık
closer,"daha yakın, sonlandırıcı"
above,yukarıda
asleep,"uykuda, tembel"
interview,"röportaj, söyleşi yapmak"
mate,dostum
career,kariyer
throat,boğaz
bite,ısırmak
mama,anne
load,"yük, yüklemek"
comfortable,rahat
circle,daire
fir,köknar
nut,fındık
emergency,acil durum
hood,kapüşon
band,"bant, şerit"
president,devlet başkanı
tight,sıkı
named,adlı
held,kavradı
duty,görev
chinese,çince
teacher,öğretmen
fresh,taze
van,kamyonet
match,eşleşme
pocket,cep
speech,konuşma
defend,savunmak
prefer,tercih etmek
older,daha eski
sold,satıldı
afternoon,öğleden sonra
low,düşük
jealous,kıskanç
blind,kör
pressure,basınç
gather,toplamak
sail,yelken
add,eklemek
spread,"yaymak, yayılmak"
kitchen,mutfak
event,etkinlik
strike,vuruş
stranger,yabancı
giant,dev
storm,fırtına
roof,çatı
process,süreç
root,"kök, köken"
itself,kendisi
color,renk
nowhere,hiçbir yerde
bell,"çan, zil, böğürmek"
tiny,çok küçük
russian,"rusça, rus"
restaurant,restoran
sweetheart,birtanem
invite,davet et
loose,gevşek
arrive,varmak
slept,uyudu
connect,bağlamak
bedroom,yatak odası
spoke,konuştu
necessary,gerekli
device,cihaz
cousin,kuzen
moon,ay
flame,alev
large,büyük
tower,kule
cream,krem
however,ancak
hire,kiralama
brilliant,parlak
savior,kurtarıcı
skill,beceri
nervous,"sinir, gergin, sinirli"
league,lig
harm,zarar
defeat,yenilgi
creat,kaynak oluşturmak
crack,çatlak
dump,"çöplük, çöp dökmek"
brave,cesur
sawyer,bıçkıcı
harder,daha güçlü
earn,kazanmak
seek,aramak
earl,kont
medical,tıbbi
slip,kayma
sacrifice,kurban
awful,berbat
shoulder,omuz
knee,diz
punch,yumruk
desk,sıra
ain't,değil
spirit,ruh
size,boyut
chain,zincir
asshole,kıç deliği
attorney,avukat
due,nedeniyle
likely,muhtemelen
defense,savunma
river,nehir
billion,milyar
jerk,"sarsmak, ahmak"
plate,tabak
responsible,sorumluluk sahibi
subject,"konu, özne"
crew,mürettebat
race,yarış
attempt,girişimde bulunmak
genius,deha
milk,süt
tip,"ipucu, bahşiş"
depend,"bağlı olmak, güvenmek"
operation,operasyon
feelings,"gönül, his dünyası"
onto,üstüne
dry,kuru
aware,farkında olmak
revenge,intikam
condition,"şart, koşul"
major,"asıl, büyük, başlıca"
roommate,oda arkadaşı
lower,"alt, düşürmek"
lesson,ders
sooner,er
familiar,tanıdık
secure,güvenli
servant,hizmetçi
result,sonuç
rome,roma
clever,zeki
jail,hapis
weather,hava
march,mart
horrible,korkunç
damage,hasar
practice,uygulama
aye,"Evet, kabul oyu"
whenever,her ne zaman
cab,taksi
community,topluluk
cheat,hile
military,askeri
lift,"asansör, kaldırmak"
climb,tırmanış
teeth,diş
fancy,fantezi
bust,"bozulmak, tutuklamak, iflas etmek"
make it,bunu yapmak
bean,fasulye
loud,yüksek sesle
cave,mağara
afford,"parası yetmek, gücü yetmek"
request,istek
obvious,açık
social,sosyal
come back,dönmek
backup,"yedek, yedeğini almak"
recognize,tanımak
eventually,sonuçta
nail,tırnak
lately,son zamanlarda
faster,daha hızlı
post,"postalamak, ileti"
data,veri
apology,özür
french,fransızca
whore,fahişe
pill,hap
murderer,katil
pie,turta
comic,komik
spare,yedek
knowledge,bilgi
heal,iyileşmek
boring,sıkıcı
tire,tekerlek
protection,koruma
village,köy
cheese,peynir
wild,vahşi
romantic,romantik
firm,firma
grew,büyüdü
general,genel
center,merkez
borrow,ödünç almak
create,"yaratmak, yapmak, tasarlamak, üretmek"
tech,teknoloji
challenge,meydan okuma
sandwich,sandviç
effect,"etki, tesir"
trigger,tetik
proof,kanıt
famous,meşhur
bow,"yay, başla selamlama"
traitor,hain
responsibility,sorumluluk
language,dil
main,ana
grand,büyük
shop,dükkan
site,yer
release,"salıvermek, salmak, serbest bırakmak"
total,toplam
silly,saçma
pig,domuz
heat,"ısıtmak, sıcaklık, ısı"
sneak,"gizlice, sinsice"
shock,şok
regular,düzenli
score,"puan, skor"
simply,basitçe
duck,ördek
perfectly,mükemmel bir şekilde
unfortunately,ne yazık ki
clock,saat
doc,doktor
spell,harf harf kodlamak
disappoint,hayal kırıklığına uğratmak
used to,"alışık, alışkın"
toy,oyuncak
mercy,merhamet
ate,yemek( past hali )
prime,asal
recently,son günlerde
evening,akşam
source,kaynak
authority,yetki
deny,reddetmek
council,konsey
connection,bağ
engineer,mühendis
clothe,giydirmek
grade,sınıf
amount,miktar
scary,korkunç
rise,yükselmek
rescue,kurtarmak
don,giymek
married,evli
shield,kalkan
debt,borç
nah,hayır
slap,tokat
local,yerel
bullshit,saçmalık
birth,"doğum, doğurma"
basically,temel olarak
approach,"yaklaşım, yaklaşmak"
chamber,bölme
view,görünüm
intend,niyet etmek
prize,ödül
hug,sarılmak
havent,sığınak
former,eski
seal,mühür
cure,çare
heaven,cennet
rough,kaba
couch,kanepe
suddenly,aniden
sin,günah
value,"değer, kıymet"
dozen,düzine
congratulation,tebrik
look at,bakmak
take it,"varsaymak, kabul etmek"
row,kürek çekmek
neighbor,komşu
bath,"banyo, yıkanmak"
toast,kızarmış ekmek
journey,seyahat
investigation,soruşturma
trail,iz
heavy,ağır
mix,karıştırmak
crown,taç
string,"sicim, dizi, kandırmak"
gang,"çete, işbirliği yapmak"
swing,salıncak
hidden,gizli
wave,dalga
pal,ahbap
awake,"uyanık, uyanmak"
impressive,etkileyici
bowl,"kase, yuvarlamak"
chick,civciv
experiment,deney
discover,keşfetmek
identity,kimlik
agreement,anlaşma
chief,şef
devil,şeytan
speed,hız
fella,"yakın arkadaş, delikanlı"
suicide,intihar
nature,doğa
aside,bir kenara
grown,yetişkin
incredible,inanılmaz
sport,spor
loss,kayıp
zero,sıfır
energy,enerji
tunnel,tünel
pair,çift
saturday,cumartesi
became,"oldu, haline geldi"
confess,itiraf etmek
wise,bilge
driving,sürme
player,oyuncu
torture,işkence
pyramid,piramit
physic,"ilaç vermek, tedavi etmek, tıp"
jungle,orman
surely,elbette
someday,birgün
fed,besledi
stronger,daha güçlü
meat,et
exact,"tam, kesin"
limit,sınır
crush,ezmek
demand,talep
demon,iblis
impress,etkilemek
bug,"hata, dinleme cihazı"
network,ağ
